timestamp;tag;duration;package_0;core_0;uncore_0
1653915992.4286845;main;478.77565121650696;7671210937.0;6260073983.0;43537086.0
1653916475.1991215;main;499.84378576278687;8216435075.0;6529933989.0;202964632.0
1653916475.1972878;main;499.8488976955414;8216501645.0;6529977123.0;202970522.0
1653916979.190077;main;569.8518304824829;10023045230.0;7389768963.0;742558233.0
1653916979.1354454;main;569.9188451766968;10024264176.0;7390578065.0;742692991.0
1653917552.7996397;main;593.330287694931;10512096141.0;7710239695.0;821462706.0
1653917552.8666267;main;593.2634208202362;10510887707.0;7709498705.0;821260782.0
1653918149.577215;main;603.8117773532867;10660221125.0;7805681415.0;822023712.0
1653918149.5320647;main;603.8571290969849;10660993287.0;7806197990.0;822103741.0
1653918756.3953786;main;437.48930168151855;-58533393847.0;-59826701446.0;43175059.0
1653918756.4105213;main;437.4751207828522;-58533625860.0;-59826853507.0;43170619.0
1653919197.0947416;main;433.99520564079285;6949276866.0;5668371505.0;41957700.0
1653919197.0947323;main;434.0031759738922;6949405491.0;5668464594.0;41967953.0
1653919634.2046983;main;430.1582763195038;6889184972.0;5635241764.0;39774982.0
1653919634.2046764;main;430.1614453792572;6889225879.0;5635272051.0;39776569.0
1653920067.7119017;main;435.3732650279999;6945307833.0;5679129890.0;39594342.0
1653920067.7119017;main;435.3777205944061;6945358017.0;5679176671.0;39594342.0
1653920506.2341673;main;439.05949783325195;7024732864.0;5723890713.0;43544394.0
1653920506.2250848;main;439.0689709186554;7024873039.0;5723994162.0;43544837.0
1653920948.5027778;main;435.739298582077;6943093302.0;5676838168.0;39452000.0
1653920948.5241203;main;435.71804022789;6942794642.0;5676626555.0;39452000.0
1653921387.4868982;main;443.7530999183655;7046945048.0;5749665259.0;41538456.0
1653921387.4943497;main;443.7472050189972;7046866515.0;5749597071.0;41538456.0
1653921834.3426712;main;437.27420830726624;6971123240.0;5692791460.0;41084195.0
1653921834.342667;main;437.2782280445099;6971198584.0;5692840484.0;41094677.0
1653922274.7199063;main;433.3630928993225;6914666519.0;5655422513.0;39328685.0
1653922274.719907;main;433.363653421402;6914666519.0;5655422513.0;39328685.0
1653922711.1920252;main;429.34731340408325;6879306211.0;5624385376.0;39234162.0
1653922711.1810994;main;429.3587098121643;6879475788.0;5624521675.0;39234620.0
1653923143.9760203;main;428.00481820106506;-58678139231.0;5606956819.0;38419537.0
1653923143.9585474;main;428.0225603580475;-58677910117.0;5607115258.0;38419537.0
1653923575.4313958;main;440.6284544467926;7018038035.0;5727819739.0;41557803.0
1653923575.4312088;main;440.62867617607117;7018038035.0;5727819739.0;41557803.0
1653924019.1326766;main;432.10977602005005;6899200614.0;-59889341334.0;39250976.0
1653924019.1292458;main;432.1165039539337;6899289995.0;-59889273985.0;39250976.0
1653924454.5639362;main;437.35356616973877;6983100328.0;5703709337.0;41083905.0
1653924454.5639315;main;437.35657930374146;6983139312.0;5703738724.0;41083905.0
1653924895.0049634;main;434.9906451702118;6922776253.0;5657595969.0;39829285.0
1653924895.0138235;main;434.98176670074463;6922619416.0;5657489636.0;39816636.0
1653925333.1399405;main;437.237352848053;6953783775.0;5678436825.0;40431350.0
1653925333.1133194;main;437.2642090320587;6954193009.0;5678723935.0;40444213.0
1653925773.6133716;main;439.7931077480316;6978432967.0;5699826436.0;40365023.0
1653925773.6438231;main;439.7637403011322;6977948280.0;5699486289.0;40341602.0
1653926216.4680362;main;436.6999809741974;6964947015.0;5684839357.0;41056364.0
1653926216.461423;main;436.7097611427307;6965095338.0;5684949870.0;41056364.0
1653926656.3013713;main;429.44750571250916;6865751645.0;5614182504.0;39235322.0
1653926656.3082142;main;429.4408779144287;6865671602.0;5614115521.0;39235322.0
1653927088.883393;main;432.752423286438;-58628970403.0;5642933519.0;38776895.0
1653927088.8891988;main;432.746545791626;-58629065002.0;5642863332.0;38776895.0
1653927524.908336;main;439.4114727973938;6992795154.0;5710684349.0;41941847.0
1653927524.9083395;main;439.4120433330536;6992810595.0;5710696769.0;41941847.0
1653927967.3759627;main;434.34625577926636;6928816575.0;5660857840.0;40081042.0
1653927967.3507426;main;434.3713800907135;6929174055.0;5661135887.0;40087908.0
1653928404.8105748;main;436.821147441864;6950280934.0;5677797515.0;40819331.0
1653928404.8105812;main;436.8220579624176;6950294681.0;5677808379.0;40819331.0
1653928845.0736473;main;440.35538387298584;7014143827.0;-59811454844.0;42580623.0
1653928845.0730832;main;440.3560001850128;7014156095.0;-59811445232.0;42580623.0
1653929288.4564216;main;436.28719902038574;6948348401.0;5674118018.0;40417389.0
1653929288.4504683;main;436.2936532497406;6948442436.0;5674199602.0;40417389.0
1653929728.0371175;main;435.1265995502472;6932767878.0;5660496148.0;40965319.0
1653929728.0216432;main;435.14293456077576;6933025632.0;5660671341.0;40965319.0
1653930166.4247196;main;438.35391426086426;6958383786.0;5682020288.0;40962069.0
1653930166.4247193;main;438.3539710044861;6958383786.0;5682020288.0;40962069.0
1653930608.3343287;main;429.45293140411377;6862743224.0;5608769667.0;39432043.0
1653930608.3346627;main;429.454571723938;6862774137.0;5608793180.0;39432043.0
1653931041.143504;main;433.92884135246277;6914549643.0;5645799994.0;39754200.0
1653931041.143504;main;433.9290075302124;6914549643.0;5645799994.0;39754200.0
1653931478.3899825;main;435.6749358177185;-58598859838.0;5661425178.0;41075986.0
1653931478.3899825;main;435.67963695526123;-58598791543.0;5661476628.0;41075986.0
1653931917.379629;main;433.3738625049591;6917897904.0;5651008984.0;40725052.0
1653931917.3945935;main;433.3690896034241;6917832844.0;5650957854.0;40737914.0
